1,2.9913,2.8119,1.6027,4.989,3.0026
1,0.90319,0.42158,0.74875,1.4249,2.1784
1,0.026987,0.032589,0.3951,1.5401,1.8254
1,0.026343,0.037193,0.70315,2.6108,2.9587
1,0.0259,0.049612,0.97776,3.3954,3.8134
1,0.017447,0.062799,1.2394,4.1729,4.4116
1,0.037765,0.11969,1.5013,4.7001,5.3013
1,0.90319,0.42158,0.74875,1.4249,2.1784
1,0.17549,0.18372,0.32241,0.55124,0
1,0.92,2.7429,3.0754,4.0344,0
1,0.18703,2.531,3.3166,3.8341,0
1,1.0507,2.5345,3.2615,5.7735,0
1,0.13301,0.13245,0.96744,2.7249,0
1,0.13096,0.18889,4.2874,4.2891,0
2,14.918,28.917,19.669,11.485,4.0943
2,19.72,19.805,5.3355,2.7683,1.0568
2,16.673,16.699,5.1821,3.76,1.0762
2,5.4358,8.9882,6.7222,2.739,0.3747
2,23.859,24.899,6.5424,4.5175,3.5764
2,26.233,27.194,6.0892,4.9723,3.6351
2,30.919,31.811,9.0695,4.7008,4.3319
2,25.011,26.602,6.2983,4.3579,2.4226
2,27.411,28.926,8.8511,5.5145,3.21
2,32.142,33.58,8.7695,5.7653,3.5957
2,13.085,15.668,5.2974,8.5431,3.7028
2,20.863,21.868,8.4987,10.251,4.3902
2,30.96,31.954,9.1631,5.9872,3.4349
3,6.1486,7.7614,4.6026,6.1824,0.49716
3,4.0833,5.2704,2.0453,2.5018,3.351
3,6.032,7.7743,3.4467,5.5637,0.541
3,4.2747,5.7632,2.6871,4.1978,1.2585
3,4.2269,5.814,2.7995,4.3044,1.4058
3,4.0081,6.3542,3.0326,3.9441,1.5233
3,11.097,11.595,2.7242,6.2679,11.109
3,11.914,12.047,3.0038,6.7344,10.296
3,11.516,12.064,3.1343,6.6707,8.9869
3,52.857,40.932,2.8348,0.55453,2.1372
3,17.549,16.421,3.1408,1.6167,0.79302
3,22.058,25.62,2.1044,0.12694,3.5465
3,16.197,21.852,2.3381,2.4104,0
3,22.997,8.0659,2.2331,1.4141,0
